,p_spp,gape,elev,slp_test,slope,upper,lower,slp_p_val,xy_r2,xy_cor,n,from,to
1,CA.MELA,gw,-0.939902014,1,1.039135735,0.885882926,1.218900426,0.605046305,0.962300424,1.90E-08,12,178.3708342,577.9653945
2,AP.FURC,gw,-0.162737678,1,0.800254781,0.651750122,0.982596999,0.034028523,0.631384414,7.21E-09,36,192.9663412,294.1069427
3,LU.BOHA,gw,-0.286034911,1,0.838282768,0.755356689,0.930312803,0.001281859,0.865382711,0,52,114.5735958,589.1786503
4,LU.KASM,gw,-1.458216212,1,1.350885772,0.997371585,1.829701585,0.050837808,0.983577059,0.008245465,4,36.39366884,147.4434904
5,CE.ARGU,gw,-0.20131982,1,0.851401701,0.583867775,1.241522289,0.394157743,0.286207021,0.008530359,23,158.0808298,355.8384301
6,CE.UROD,gw,-2.750544624,1,1.997070555,1.561211038,2.554613506,2.55E-07,0.427530489,6.24E-07,47,79.07272684,172.7496416
7,VA.LOUT,gw,-0.5562477,1,0.975939881,0.821922861,1.158817568,0.753214913,0.900635083,2.78E-05,10,175.165495,533.6040646
