pk_SpecimenID,RT.OldID,SiteName,SpeciesCode,SciName,Guild,FishLevel,CollNotes,Weight (g),TL,FL,SL,GapeHeight,GapeWidth,log2biomass,PreySizeInStomach,SizeClass,StomachContents,DissNotes
1367,ACAN.SP001,31,ACAN.SP,Acanthurus sp,He,HP.HF,,1.30,39.2,,31.7,3.8,2.8,0.379,NA,1 - 2 g,NA,needs to be ID'd
2435,KIF12.141,40,AP.FURC,Aphareus furca,Pi,HP.MF,,205.00,302.0,,236.0,50.2,56.4,7.679,NA,128 - 256 g,cruatacean remains: shrimp,
2470,KIF12.176,30,AP.FURC,Aphareus furca,Pi,HP.HF,,260.00,298.0,,215.0,58.7,51.0,8.022,,256 - 512 g,crustacean remains,
2471,KIF12.177,30,AP.FURC,Aphareus furca,Pi,HP.HF,,200.00,255.0,,202.0,44.1,49.8,7.644,,128 - 256 g,empty gut,
2481,KIF12.187,19,AP.FURC,Aphareus furca,Pi,LP.LF,,275.00,281.0,,215.0,44.5,47.0,8.103,,256 - 512 g,crab larvae,
2485,KIF12.191,19,AP.FURC,Aphareus furca,Pi,LP.LF,,420.00,322.0,,249.0,59.1,54.4,8.714,,256 - 512 g,crab larvae,
2486,KIF12.192,19,AP.FURC,Aphareus furca,Pi,LP.LF,,210.00,271.0,,209.0,42.4,43.5,7.714,,128 - 256 g,crab larvae,
2497,KIF12.203,30,AP.FURC,Aphareus furca,Pi,HP.HF,,210.00,251.0,,193.0,44.9,52.2,7.714,,128 - 256 g,"small crustacean bits, eyes (shrimp?)",
2513,KIF12.219,6,AP.FURC,Aphareus furca,Pi,HP.LF,,480.00,353.0,,271.0,59.5,61.0,8.907,,256 - 512 g,pink snot,
2514,KIF12.220,6,AP.FURC,Aphareus furca,Pi,HP.LF,,525.00,360.0,,283.0,62.3,67.0,9.036,,512 - 1024 g,"2 shrimp:19,28mm. 1 fish (60.5)-baby parrot",
2515,KIF12.221,6,AP.FURC,Aphareus furca,Pi,HP.LF,,400.00,336.0,,268.0,57.0,53.1,8.644,,256 - 512 g,fish & crab bits,
