,chaetodon_gh,chaetodon_gw,chaetodon_ga
elev,-2.592024798,-2.848853196,-5.158261756
slp_test,1,1,2
slope,1.763781208,1.866921438,3.44799369
upper_limit,1.361553637,1.376544785,2.612037617
lower_limit,2.28483408,2.531988566,4.551489002
slp_p_value,2.46E-05,6.32E-05,0.000140415
xy_r^2,0.276206187,0.24415224,0.296875606
xy_corr_p_value,1.15E-05,4.47E-05,4.68E-06
n,62,62,62
from,96.97369993,94.45121074,96.71455872
to,146.0913407,149.4184041,148.2478507
